"ID";"DATE";"PRECIPITATION";"WINDSPEED";"SNOW";"PRESSURE";"TEMP_MAX";"TEMP_MIN";"TEMP_AVG";"TOTAL_SUNSHINE";"GUST";"WINDDIR";"LOCATION_ID"
1;"2015-01-01";3.1;21.0;0.0;1028.3;5.0;1.2;3.1;96;0.0;0;1
2;"2015-01-02";0.1;28.0;0.0;1020.1;9.0;4.3;6.2;109;0.0;0;1
3;"2015-01-03";1.6;20.0;0.0;1019.9;5.2;2.6;4.0;0;0.0;0;1
4;"2015-01-04";0.2;14.0;0.0;1028.5;6.3;1.3;3.5;288;0.0;0;1
5;"2015-01-05";0.0;13.0;0.0;1029.9;4.3;0.6;2.3;13;0.0;0;1
6;"2015-01-06";1.1;11.0;0.0;1021.1;4.9;1.6;3.1;0;0.0;0;1
7;"2015-01-07";0.8;15.0;0.0;1022.8;5.8;2.2;4.1;281;0.0;0;1
8;"2015-01-08";12.7;22.0;0.0;1016.9;7.1;3.0;5.2;0;0.0;0;1
9;"2015-01-09";5.6;30.0;0.0;1011.1;10.8;5.4;7.8;0;0.0;0;1
10;"2015-01-10";4.1;35.0;0.0;1003.9;12.7;4.3;9.4;0;0.0;0;1
11;"2015-01-11";4.0;29.0;0.0;1010.1;6.7;2.5;5.0;53;0.0;0;1
12;"2015-01-12";9.3;28.0;0.0;1008.7;9.1;6.1;7.5;0;0.0;0;1
13;"2015-01-13";13.5;22.0;0.0;1001.3;9.4;5.7;8.0;0;0.0;0;1
14;"2015-01-14";2.6;19.0;0.0;1004.5;6.0;1.0;3.6;6;0.0;0;1
15;"2015-01-15";8.1;26.0;0.0;996.0;9.1;2.6;6.9;0;0.0;0;1
16;"2015-01-16";0.1;21.0;0.0;1001.9;7.2;2.5;5.3;254;0.0;0;1
17;"2015-01-17";0.0;13.0;0.0;1010.9;5.1;0.0;2.2;407;0.0;0;1
18;"2015-01-18";6.0;13.0;0.0;1011.4;2.1;0.4;1.4;0;0.0;0;1
19;"2015-01-19";0.8;4.0;0.0;1011.0;1.5;-0.1;0.7;0;0.0;0;1
20;"2015-01-20";0.0;6.0;0.0;1011.1;2.5;-2.4;-0.1;105;0.0;0;1
21;"2015-01-21";0.0;8.0;0.0;1013.6;0.4;-4.1;-2.1;62;0.0;0;1
22;"2015-01-22";0.0;12.0;0.0;1019.1;0.8;-3.1;-1.3;74;0.0;0;1
23;"2015-01-23";0.0;9.0;0.0;1024.5;-1.1;-3.4;-2.4;0;0.0;0;1
24;"2015-01-24";3.8;14.0;0.0;1018.1;3.2;-2.4;0.1;77;0.0;0;1
25;"2015-01-25";0.4;10.0;20.0;1025.1;4.1;-0.7;2.0;56;0.0;0;1
26;"2015-01-26";5.7;15.0;0.0;1016.7;6.0;2.0;3.4;0;0.0;0;1
27;"2015-01-27";1.0;12.0;0.0;1018.0;6.3;1.6;3.7;168;0.0;0;1
28;"2015-01-28";9.0;25.0;0.0;1002.7;5.8;1.3;4.1;0;0.0;0;1
29;"2015-01-29";6.6;21.0;0.0;981.0;2.8;-0.1;1.5;7;0.0;0;1
30;"2015-01-30";4.0;8.0;10.0;973.1;0.8;-1.9;0.1;32;0.0;0;1
31;"2015-01-31";0.3;10.0;40.0;979.6;3.2;-2.2;0.9;284;0.0;0;1
32;"2015-02-01";1.0;10.0;20.0;989.1;1.3;-1.3;0.1;0;0.0;0;1
33;"2015-02-02";1.4;12.0;10.0;996.4;2.7;-0.5;0.7;134;0.0;0;1
34;"2015-02-03";0.8;10.0;10.0;1003.1;3.6;-2.4;0.1;276;0.0;0;1
35;"2015-02-04";0.1;6.0;10.0;1014.6;2.0;-4.7;-1.5;380;0.0;0;1
36;"2015-02-05";0.0;10.0;10.0;1025.1;0.9;-2.6;-1.1;113;0.0;0;1
37;"2015-02-06";0.0;12.0;0.0;1032.1;1.8;-4.4;-1.5;499;0.0;0;1
38;"2015-02-07";0.7;10.0;0.0;1028.8;4.8;-5.2;0.7;0;0.0;0;1
39;"2015-02-08";0.5;17.0;0.0;1027.3;5.1;1.9;3.6;218;0.0;0;1
40;"2015-02-09";1.6;17.0;0.0;1025.5;7.1;4.7;5.7;9;0.0;0;1
41;"2015-02-10";0.1;11.0;0.0;1029.2;6.7;4.7;5.4;7;0.0;0;1
42;"2015-02-11";0.0;7.0;0.0;1025.8;5.0;2.5;4.0;0;0.0;0;1
43;"2015-02-12";0.0;7.0;0.0;1021.0;2.6;1.3;2.1;0;0.0;0;1
44;"2015-02-13";0.0;11.0;0.0;1014.0;7.5;-0.6;3.0;451;0.0;0;1
45;"2015-02-14";0.0;10.0;0.0;1009.4;10.1;0.5;4.9;464;0.0;0;1
46;"2015-02-15";0.0;15.0;0.0;1015.4;5.0;-0.9;1.8;183;0.0;0;1
47;"2015-02-16";0.0;9.0;0.0;1018.2;6.2;-1.7;1.7;465;0.0;0;1
48;"2015-02-17";0.0;7.0;0.0;1030.0;4.2;-2.5;0.8;0;0.0;0;1
49;"2015-02-18";0.0;14.0;0.0;1036.6;6.2;-1.2;1.4;330;0.0;0;1
50;"2015-02-19";0.5;20.0;0.0;1024.3;5.8;-0.2;2.4;400;0.0;0;1
51;"2015-02-20";13.8;19.0;0.0;1006.7;5.6;1.3;4.1;0;0.0;0;1
52;"2015-02-21";1.9;15.0;0.0;995.3;5.6;1.2;3.6;72;0.0;0;1
53;"2015-02-22";2.4;15.0;0.0;1004.7;5.9;-0.4;2.0;280;0.0;0;1
54;"2015-02-23";1.7;22.0;0.0;992.1;6.7;0.5;3.9;74;0.0;0;1
55;"2015-02-24";1.6;21.0;0.0;1000.4;7.5;2.3;4.5;77;0.0;0;1
56;"2015-02-25";5.0;13.0;0.0;1014.0;7.1;1.1;3.9;200;0.0;0;1
57;"2015-02-26";8.0;16.0;0.0;1013.7;9.5;3.4;6.0;241;0.0;0;1
58;"2015-02-27";0.1;13.0;0.0;1012.8;7.3;0.1;4.8;135;0.0;0;1
59;"2015-02-28";0.8;17.0;0.0;1014.0;7.5;-0.8;3.5;479;0.0;0;1
60;"2015-03-01";5.6;23.0;0.0;997.8;10.6;4.0;6.3;155;0.0;0;1
61;"2015-03-02";3.7;25.0;0.0;999.7;8.0;0.7;4.5;208;0.0;0;1
62;"2015-03-03";3.2;18.0;0.0;1012.0;5.8;1.1;3.0;151;0.0;0;1
63;"2015-03-04";2.1;19.0;0.0;1019.5;7.5;1.0;3.8;94;0.0;0;1
64;"2015-03-05";0.0;11.0;0.0;1033.7;8.4;1.3;4.6;112;0.0;0;1
65;"2015-03-06";0.0;12.0;0.0;1032.5;9.2;4.4;6.3;0;0.0;0;1
66;"2015-03-07";0.0;19.0;0.0;1026.0;12.7;3.6;7.9;270;0.0;0;1
67;"2015-03-08";0.1;15.0;0.0;1021.1;16.8;5.2;10.1;613;0.0;0;1
68;"2015-03-09";0.9;8.0;0.0;1024.7;12.2;5.0;8.1;369;0.0;0;1
69;"2015-03-10";0.0;12.0;0.0;1025.7;11.2;1.7;7.4;412;0.0;0;1
70;"2015-03-11";0.0;8.0;0.0;1029.9;10.2;-0.4;4.3;539;0.0;0;1
71;"2015-03-12";0.0;7.0;0.0;1030.8;10.6;-1.5;3.6;476;0.0;0;1
72;"2015-03-13";0.0;14.0;0.0;1027.2;7.0;-0.6;3.1;580;0.0;0;1
73;"2015-03-14";0.1;15.0;0.0;1028.6;6.1;0.9;3.9;0;0.0;0;1
74;"2015-03-15";0.1;16.0;0.0;1028.4;7.1;3.2;5.0;5;0.0;0;1
75;"2015-03-16";0.0;15.0;0.0;1024.8;11.7;2.9;7.4;372;0.0;0;1
76;"2015-03-17";0.0;8.0;0.0;1024.7;14.9;2.2;7.8;499;0.0;0;1
77;"2015-03-18";0.0;7.0;0.0;1024.9;15.7;0.6;8.0;553;0.0;0;1
78;"2015-03-19";0.0;7.0;0.0;1026.7;13.6;1.2;7.0;374;0.0;0;1
79;"2015-03-20";4.1;8.0;0.0;1023.3;7.1;0.1;3.4;106;0.0;0;1
80;"2015-03-21";2.1;17.0;0.0;1016.2;8.8;3.0;5.2;92;0.0;0;1
81;"2015-03-22";0.0;13.0;0.0;1025.3;6.3;-0.2;2.7;611;0.0;0;1
82;"2015-03-23";0.0;9.0;0.0;1014.7;9.8;-1.9;3.7;529;0.0;0;1
83;"2015-03-24";1.7;6.0;0.0;1007.5;11.1;-1.7;4.8;448;0.0;0;1
84;"2015-03-25";3.0;12.0;0.0;1005.0;11.4;4.6;6.7;14;0.0;0;1
85;"2015-03-26";1.0;14.0;0.0;1005.4;8.2;3.8;5.3;67;0.0;0;1
86;"2015-03-27";1.5;17.0;0.0;1011.8;7.0;4.6;5.9;3;0.0;0;1
87;"2015-03-28";3.2;16.0;0.0;1013.3;10.3;1.5;6.7;249;0.0;0;1
